parkCode,states,fullName,designation,latitude,longitude,latLong,fee_usd,fee_type,fee_description
inup,AK,Iñupiat Heritage Center,,71.29832445,-156.7535863,"lat:71.29832445, long:-156.7535863",0.0,Elders,Elders (Age 60+)
inup,AK,Iñupiat Heritage Center,,71.29832445,-156.7535863,"lat:71.29832445, long:-156.7535863",0.0,Children,Children (Age 6 and under)
inup,AK,Iñupiat Heritage Center,,71.29832445,-156.7535863,"lat:71.29832445, long:-156.7535863",0.0,North Slope Borough Residents,Residents of North Slope Borough
katm,AK,Katmai National Park & Preserve,National Park & Preserve,58.62235668,-155.0126574,"lat:58.62235668, long:-155.0126574",0.0,Katmai National Park and Preserve,There is no entrance fee for Katmai.
kefj,AK,Kenai Fjords National Park,National Park,59.81804414,-150.106502,"lat:59.81804414, long:-150.106502",0.0,No Entrance Fee,No entrance fees are charged at Kenai Fjords National Park
klgo,AK,Klondike Gold Rush National Historical Park,National Historical Park,59.61042373,-135.2618535,"lat:59.61042373, long:-135.2618535",0.0,Entry Fee,"Entry to Klondike Gold Rush National Historical Park is free.  Some services, such as a hiking permit for the Chilkoot Trail or camping have associated fees."
kova,AK,Kobuk Valley National Park,National Park,67.35631336,-159.2002293,"lat:67.35631336, long:-159.2002293",0.0,Free Entrance,There is no entrance fee to visit Kobuk Valley National Park
lacl,AK,Lake Clark National Park & Preserve,National Park & Preserve,60.57405857,-153.55535,"lat:60.57405857, long:-153.55535",0.0,Lake Clark Entrance and User Fees,"You do not need to pay fees, make reservations, or obtain permits from the National Park Service for any recreational activities in the park including backpacking, camping, river running, bear viewing, or visiting Dick Proenneke's cabin.

Information regarding hunting and fishing license requirements, voluntary backcountry registration forms, and the permits commercial film crews or scientists conducting research and collecting items need to obtain are available on the Permits & Reservations page."
noat,AK,Noatak National Preserve,National Preserve,68.01027053,-159.831694,"lat:68.01027053, long:-159.831694",0.0,Free Entrance,There is no fee to visit Noatak National Preserve
sitk,AK,Sitka National Historical Park,National Historical Park,57.04718173,-135.3156876,"lat:57.04718173, long:-135.3156876",0.0,All Park Activities are Free,"There is no fee to enter the visitor center, park grounds, or Russian Bishop's House."
wrst,AK,Wrangell - St Elias National Park & Preserve,National Park & Preserve,61.4182147,-142.6028439,"lat:61.4182147, long:-142.6028439",0.0,Entrance Fee,Fee free park
yuch,AK,Yukon - Charley Rivers National Preserve,National Preserve,65.0935608,-142.7960021,"lat:65.0935608, long:-142.7960021",0.0,Entrance Fee,There is no entrance fee for Yukon-Charley Rivers National Preserve
bicr,AL,Birmingham Civil Rights National Monument,National Monument,33.5154266357,-86.814666748,"lat:33.5154266357, long:-86.814666748",0.0,Birmingham Civil Rights National Monument,No Entrance Fee. The interior of the A.G. Gaston Motel is currently closed to the public and updates for the Motel opening will be available on the NPS park website at a later date.
bicr,AL,Birmingham Civil Rights National Monument,National Monument,33.5154266357,-86.814666748,"lat:33.5154266357, long:-86.814666748",15.0,Birmingham Civil Rights Institute Entrance Fees,"Adults $15 ea.

Seniors (age 65+) $13 ea.

College students (with ID), Military with ID $13 ea.

Youth (grades 4-12 living in Jefferson County, Alabama) Free

Non-Jefferson County Youth (grades 4-12 living outside Jefferson County, Alabama) $13 ea.

Children (age 4 and younger) Free"
frri,AL,Freedom Riders National Monument,National Monument,33.635269165,-85.9064331055,"lat:33.635269165, long:-85.9064331055",0.0,Freedom Riders National Monument,Freedom Riders National Monument does not have a fee for entry.
hobe,AL,Horseshoe Bend National Military Park,National Military Park,32.97668879,-85.73413589,"lat:32.97668879, long:-85.73413589",0.0,Horseshoe Bend Entrance Fee - Per Person,Horseshoe Bend is a fee free Park.
liri,AL,Little River Canyon National Preserve,National Preserve,34.41461863,-85.61734327,"lat:34.41461863, long:-85.61734327",15.0,Canyon Mouth Park picnic area Daily Pass,"Located near Cedar Bluff, Alabama, the Canyon Mouth Park area features amenities including a paved parking lot, restrooms with sinks and flush toilets, picnic tables, grills, lots of shade, close to the water, and a brand new playground.

A seven-day pass costs $15 and an annual pass costs and is good for one vehicle. 

A machine is available at the entrance to Canyon Mouth Park should no park personnel be present in the booth. The machine takes cash only (no bills larger than a $20)."
liri,AL,Little River Canyon National Preserve,National Preserve,34.41461863,-85.61734327,"lat:34.41461863, long:-85.61734327",35.0,Canyon Mouth Park picnic area Annual Pass,"Located near Cedar Bluff, Alabama, the Canyon Mouth Park area features amenities including a paved parking lot, restrooms with sinks and flush toilets, picnic tables, grills, lots of shade, close to the water, and a brand new playground.

An annual pass costs $35 and is valid for the calendar year. 

A machine is available at the entrance to Canyon Mouth Park should no park personnel be present in the booth. The machine takes cash only (no bills over $20)."
natt,"AL,MS,TN",Natchez Trace National Scenic Trail,National Scenic Trail,34.330290333,-88.7100104094,"lat:34.330290333, long:-88.7100104094",0.0,No entrance fee,"There is no fee to enter the Natchez Trace Parkway or use the Natchez Trace National Scenic Trail. Visitors can enter the Parkway, free of charge, from dozens of county, state, and U.S. roads in Mississippi, Alabama, and Tennessee. Please refer to the Parkway Map for places to access the Parkway. Enjoy your visit!"
natr,"AL,MS,TN",Natchez Trace Parkway,Parkway,33.78002293,-89.03092439,"lat:33.78002293, long:-89.03092439",0.0,No entrance fee,"There is no fee to enter the Natchez Trace Parkway. Visitors can enter the Parkway, free of charge, from dozens of county, state, and U.S. roads in Mississippi, Alabama, and Tennessee. Please refer to the Parkway Map for places to access the Parkway. Enjoy your visit!"
ruca,AL,Russell Cave National Monument,National Monument,34.97402063,-85.81560314,"lat:34.97402063, long:-85.81560314",0.0,"Entrance Fee ""FREE""",There is not an entrance fee to this park.
semo,AL,Selma To Montgomery National Historic Trail,National Historic Trail,32.27082092,-86.72823702,"lat:32.27082092, long:-86.72823702",0.0,Entrance Fee,There are no entrance fees along Selma to Montgomery National Historic Trail.
trte,"AL,AR,GA,IL,KY,MO,NC,OK,TN",Trail Of Tears National Historic Trail,National Historic Trail,36.0530021046,-89.6761041963,"lat:36.0530021046, long:-89.6761041963",0.0,General Entrance Fee Information,"There are NO USER OR ENTRY FEES fees for the Trail of Tears National Historic Trail. NOMINAL FEES may be charged at some trail-related federal, state, or locally owned historic sites and interpretive facilities. Please visit Plan Your Visit / Places To Go for an interactive map and extensive list of places to visit by state. Contact information is available for each site to call and find out about fees."
tuai,AL,Tuskegee Airmen National Historic Site,National Historic Site,32.45538671,-85.67983321,"lat:32.45538671, long:-85.67983321",0.0,Tuskegee Airmen Entrance Fee,There are no entrance fees for Tuskegee Airmen National Historic Site.
tuin,AL,Tuskegee Institute National Historic Site,National Historic Site,32.42962115,-85.70488498,"lat:32.42962115, long:-85.70488498",0.0,Tuskegee Institute Entrance Fee,There are no entrance fees for Tuskegee Institute National Historic Site.
arpo,AR,Arkansas Post National Memorial,National Memorial,34.00389998,-91.30837178,"lat:34.00389998, long:-91.30837178",0.0,Park Fees,There is no entrance fee to visit the park.
buff,AR,Buffalo National River,National River,36.04116481,-92.90761584,"lat:36.04116481, long:-92.90761584",0.0,Entrance Fee,None
fosm,"AR,OK",Fort Smith National Historic Site,National Historic Site,35.38834746,-94.43129079,"lat:35.38834746, long:-94.43129079",10.0,Entrance walk in - per person,The entrance fee is for individual admittance into the exhibits inside the visitor center building. Your receipt will be good for seven days from the time of purchase. There is no fee for viewing the grounds.
hosp,AR,Hot Springs National Park,National Park,34.52414366,-93.06332936,"lat:34.52414366, long:-93.06332936",0.0,Entrance Fees,Entrance Fees
hosp,AR,Hot Springs National Park,National Park,34.52414366,-93.06332936,"lat:34.52414366, long:-93.06332936",0.0,Historic Museum,Fordyce Museum
hosp,AR,Hot Springs National Park,National Park,34.52414366,-93.06332936,"lat:34.52414366, long:-93.06332936",0.0,Guided Tours,Guided Tours
chsc,AR,Little Rock Central High School National Historic Site,National Historic Site,34.7369465,-92.29987899,"lat:34.7369465, long:-92.29987899",0.0,Admission and Program Fees,"Admission to Little Rock Central High School National Historic Site Visitor Center is free.  Guided tours are admission free, but must be reserved in advance to guarantee availability."
peri,AR,Pea Ridge National Military Park,National Military Park,36.45438033,-94.03468357,"lat:36.45438033, long:-94.03468357",0.0,Fees and Passes,There is no fee to enter at Pea Ridge National Military Park and passes are not available for purchase.
wicl,AR,President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site,33.66758356,-93.59641868,"lat:33.66758356, long:-93.59641868",0.0,Free,"There is no entry fee for the Visitor Center or Birthplace Home tour. However, we do sell the Annual and Senior passes and issue the Access passes."
cach,AZ,Canyon de Chelly National Monument,National Monument,36.14319567,-109.3388303,"lat:36.14319567, long:-109.3388303",0.0,No Entrance Fee,There is no entrance fee for the park.
cagr,AZ,Casa Grande Ruins National Monument,National Monument,32.99702582,-111.5325383,"lat:32.99702582, long:-111.5325383",0.0,Entrance to Casa Grande Ruins National Monument is free.,"The monument no longer sells the Annual or Senior passes. However, the following free passes can still be issued: Military (Active Duty), 4th Grade, Access, and Volunteer."
chir,AZ,Chiricahua National Monument,National Monument,32.01214618,-109.341607,"lat:32.01214618, long:-109.341607",0.0,Chiricahua Entrance Fee,Chiricahua National Monument is a fee free park. No entrance fee is required.
coro,AZ,Coronado National Memorial,National Memorial,31.34900397,-110.2561574,"lat:31.34900397, long:-110.2561574",0.0,Coronado National Memorial Entrance Fee,"Coronado National Memorial is a Fee Free park, no entrance fee is required."
fobo,AZ,Fort Bowie National Historic Site,National Historic Site,32.14925942,-109.451132,"lat:32.14925942, long:-109.451132",0.0,Fort Bowie Entrance Fee,Fort Bowie National Historic Site is a fee free park. No entrance fee is required.
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",30.0,1-7 Day Vehicle Entrance,"Admits one single, private, non-commercial vehicle and all its passengers"
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",25.0,1-7 Day Motorcycle Entrance,"Admits one single, private, non-commercial motorcycle and its riders."
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",15.0,1-7 Day Individual Entrance,Admits one individual when entering on foot or bicycle. Individuals 15 years of age and younger are admitted free.
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",30.0,1-7 Day Boating Entrance,"Admits one single private vessel. If a Senior Pass is presented at time of purchase, the boat entrance fee is $15.00 and good for 1-7 Days."
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",30.0,1-7 Day Boating Entrance additional vessel,Admits one single private vessel on the same trailer as a vessel paying full entry fees
grca,AZ,Grand Canyon National Park,National Park,36.0001165336,-112.121516363,"lat:36.0001165336, long:-112.121516363",35.0,Grand Canyon National Park Vehicle Permit,"Admits one single, private, non-commercial vehicle and all its passengers. Organized groups are not eligible for the vehicle permit."
grca,AZ,Grand Canyon National Park,National Park,36.0001165336,-112.121516363,"lat:36.0001165336, long:-112.121516363",30.0,Grand Canyon National Park Motorcycle Permit,"Admits one single, private, non-commercial motorcycle and its passenger(s)."
grca,AZ,Grand Canyon National Park,National Park,36.0001165336,-112.121516363,"lat:36.0001165336, long:-112.121516363",20.0,Grand Canyon National Park Individual Permit,"Admits one individual when entering by foot, bicycle, park shuttle bus, Grand Canyon Railway and private rafting trip. Individuals 15 years old and younger are admitted free of charge."
para,AZ,Grand Canyon-Parashant National Monument,National Monument,36.41535465,-113.6682797,"lat:36.41535465, long:-113.6682797",0.0,Entrance Fees,"No entrance fees or permits are required for general public activities except for winter access to the Kelly Point Road. 

Permits are required for commercial activities, either a Commercial Use Authorization on NPS lands or a Special Recreation Permit on BLM lands. Other activities such as hunting licenses and ORV vehicle licensing are subject to Arizona state regulations."
hutr,AZ,Hubbell Trading Post National Historic Site,National Historic Site,35.70727324,-109.5599515,"lat:35.70727324, long:-109.5599515",2.0,Hubbell Home Tours Fee,"Hubbell Home tour fee is $2.00 per person for above the age of 15 years. Free for children under 15.
Group size is 15 people per tour.
School trips and special groups, please call the park for more information."
juba,"AZ,CA",Juan Bautista de Anza National Historic Trail,National Historic Trail,33.8743390994,-117.224179857,"lat:33.8743390994, long:-117.224179857",0.0,Fees Vary,"The 1,200-mile Anza Trail connects historic, cultural, and recreation sites from Nogales, AZ, to the San Francisco Bay Area that reveal the legacy of our Spanish colonial heritage. To learn more, visit http://www.nps.gov/juba. Each site along the Anza Trail is managed independently. Contact individual sites for hours, directions, fees, and other details."
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",25.0,Daily Pass - Vehicle - 1  to 7 days,"Admits passholder and occupants of a single, private non-commercial vehicle."
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",16.0,Lake Use Fee - Vessel - 1 to 7 Days,Per vessel. Senior and Access pass holders receive a 50% discount.
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",15.0,Daily Pass - Individual - 1 to 7 Days,"Hikers, bicycles, etc."
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",20.0,Daily Pass - Motorcycle 1-7 Days,Entrance fee per motorcycle
moca,AZ,Montezuma Castle National Monument,National Monument,34.62237771,-111.8147857,"lat:34.62237771, long:-111.8147857",10.0,Montezuma Castle Entrance Fee - Per Adult,"This entrance fee covers one adult, aged 16 and over, for entrance to Montezuma Castle and Tuzigoot National Monuments for 7 days."
moca,AZ,Montezuma Castle National Monument,National Monument,34.62237771,-111.8147857,"lat:34.62237771, long:-111.8147857",0.0,Montezuma Castle Entrance Fee - Children,Children aged 15 and under are free.
moca,AZ,Montezuma Castle National Monument,National Monument,34.62237771,-111.8147857,"lat:34.62237771, long:-111.8147857",0.0,Montezuma Well - Free Entrance,"Montezuma Well, a detached unit or district of Montezuma Castle, does not charge an entrance fee."
nava,AZ,Navajo National Monument,National Monument,36.71755643,-110.5504015,"lat:36.71755643, long:-110.5504015",0.0,NAVA is a non-fee park,"No fees for park entrance, camping and hiking, but donations are welcome."
olsp,"AZ,CA,CO,NV,NM,UT",Old Spanish National Historic Trail,National Historic Trail,37.0791782514,-112.114693431,"lat:37.0791782514, long:-112.114693431",0.0,Entrance fees vary site by site,"There are no user or entry fees for the Old Spanish National Historic Trail. Fees may be charged at some trail-related federal, state, or locally owned historic sites and interpretive facilities. Please contact individual trail sites before visiting for more information."
orpi,AZ,Organ Pipe Cactus National Monument,National Monument,32.03585543,-112.8573314,"lat:32.03585543, long:-112.8573314",25.0,Organ Pipe Cactus Entrance Fee: Vehicle,7 day entrance pass for the vehicle and all occupants
orpi,AZ,Organ Pipe Cactus National Monument,National Monument,32.03585543,-112.8573314,"lat:32.03585543, long:-112.8573314",20.0,Twin Peaks Campground Fee,Per-night charge for one campsite.
orpi,AZ,Organ Pipe Cactus National Monument,National Monument,32.03585543,-112.8573314,"lat:32.03585543, long:-112.8573314",12.0,Alamo Canyon Primitive Campground,Per night per campsite
orpi,AZ,Organ Pipe Cactus National Monument,National Monument,32.03585543,-112.8573314,"lat:32.03585543, long:-112.8573314",5.0,Backcountry Camping,Per trip
orpi,AZ,Organ Pipe Cactus National Monument,National Monument,32.03585543,-112.8573314,"lat:32.03585543, long:-112.8573314",20.0,Organ Pipe Cactus Entrance Fee: Motorcycle,7 day entrance pass for the motorcycle and all occupants
orpi,AZ,Organ Pipe Cactus National Monument,National Monument,32.03585543,-112.8573314,"lat:32.03585543, long:-112.8573314",15.0,Organ Pipe Cactus Entrance Fee: Single Individual on Foot/Bicycle,7 day entrance fee for a single individual on foot or bicycle
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",25.0,Auto/7-day pass to Petrified Forest National Park,Fee is for one private vehicle and the people within for 7 days.
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",15.0,Bicycle and walkers/per person,The fee allows for one person walking or one person on a bicycle into the park for 7 days.
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",20.0,Motorcycle (flat fee),Allows a motorcycle and riders in for 7 days.
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",150.0,Large commercial tour bus with capacity of 26 or more,Large commercial tour bus with capacity of 26 or more: $150 (for 7 days)
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",60.0,Small commercial tour bus with capacity of 16-25,Small commercial tour bus with capacity of 16-25: $60 (for 7 days)
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",50.0,Commercial tour van with capacity of 7-15,Commercial tour van with capacity of 7-15: $50 (for 7 days)
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",50.0,Van with capacity of 7-15,Commercial tour van with capacity of 7-15: $50 (for 7 days)
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",25.0,Commercial tour passenger vehicle with capacity of 1-6,Commercial tour passenger vehicle with capacity of 1-6: $25-$50 (for 7 days) depending on occupancy.
pisp,AZ,Pipe Spring National Monument,National Monument,36.86282666,-112.7398567,"lat:36.86282666, long:-112.7398567",10.0,Pipe Spring Entrance Fee - Per Person,"Entrance to Pipe Spring is $10.00 per person for up to 7 days (includes $3.00 tribal use fee). Beginning January 2, 2020, cash payments will no longer be accepted (credit or debit cards only). Visitors may pay entrance fees or purchase an Interagency Annual Pass with cash at the Zion Forever Project bookstore in the Visitor Center. Children 15 and under are admitted for free."
sagu,AZ,Saguaro National Park,National Park,32.20909636,-110.7574974,"lat:32.20909636, long:-110.7574974",25.0,Saguaro National Park Vehicle Weekly Pass,"Admits one single, private, non-commercial vehicle or RV and all its passengers. Organized groups are not eligible for the vehicle permit."
sagu,AZ,Saguaro National Park,National Park,32.20909636,-110.7574974,"lat:32.20909636, long:-110.7574974",15.0,Saguaro National Park Individual Weekly Pass,Admits one individual when entering by foot or bicycle. Individuals 15 years or younger are admitted free of charge.
sagu,AZ,Saguaro National Park,National Park,32.20909636,-110.7574974,"lat:32.20909636, long:-110.7574974",20.0,Saguaro National Park Motorcycle Weekly Pass,Admits one motorcycle and its riders.
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",25.0,Private Vehicle - Sunset Crater-Wupatki Entrance Fee,This fee covers the occupants of one private vehicle for seven days at both Sunset Crater Volcano and Wupatki National Monuments.
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",28.0,Commercial Sedan - Sunset Crater-Wupatki Entrance Fee,This fee covers all occupants of one commercial sedan for one day at both Sunset Crater Volcano and Wupatki National Monuments.
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",40.0,Commercial Van - Sunset Crater-Wupatki Entrance Fee,This fee covers the occupants of one commercial passenger van for one day at both Sunset Crater Volcano and Wupatki National Monuments.
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",100.0,Commercial Bus - Sunset Crater-Wupatki Entrance Fee,This fee covers all occupants of one commercial bus for one day at both Sunset Crater Volcano and Wupatki National Monuments.
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",15.0,Bicyclist/Pedestrian - Sunset Crater-Wupatki Entrance Fee,This fee covers one bicyclist or pedestrian for seven days at both Sunset Crater Volcano and Wupatki National Monuments.
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",20.0,Motorcycle - Sunset Crater-Wupatki Entrance Fee,This fee covers the occupants of one motorcycle for seven days at both Sunset Crater Volcano and Wupatki National Monuments.
tont,AZ,Tonto National Monument,National Monument,33.64842945,-111.1135627,"lat:33.64842945, long:-111.1135627",10.0,Per Person Entrance Fee,"The entrance fee applies to everyone 16 and older. Children 15 and under are free. Tonto National Monument accepts all Interagency Federal Public Lands passes in place of the entrance fee. These include the Annual, Senior, Access, Military, and Fourth Grader passes."
tuma,AZ,Tumacácori National Historical Park,National Historical Park,31.567824,-111.051223,"lat:31.567824, long:-111.051223",10.0,Tumacácori Entrance Fee - Per Person,Required for anyone 16 and older unless a guest of other pass holder. Valid for 7 days.
tuzi,AZ,Tuzigoot National Monument,National Monument,34.77296377,-112.0279069,"lat:34.77296377, long:-112.0279069",10.0,Tuzigoot Entrance Fee - Per Person,"This entrance fee covers one adult, aged 16 and over, for entrance to Montezuma Castle and Tuzigoot National Monuments for 7 days."
tuzi,AZ,Tuzigoot National Monument,National Monument,34.77296377,-112.0279069,"lat:34.77296377, long:-112.0279069",0.0,Tuzigoot Entrance Fee - Children,Children aged 15 and under are free.
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",25.0,Walnut Canyon Private Vehicle Entrance Fee,This fee covers the occupants of one private vehicle for seven consecutive days at Walnut Canyon National Monument.
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",28.0,Commercial Sedan - Walnut Canyon Entrance Fee,This fee covers the occupants of one commercial sedan for one day at Walnut Canyon National Monument.
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",40.0,Commercial Van - Walnut Canyon Entrance Fee,This fee covers the occupants of one commercial van for one day at Walnut Canyon National Monument.
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",100.0,Commercial Bus - Walnut Canyon Entrance Fee,This fee covers the occupants of one commercial bus for one day at Walnut Canyon National Monument.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",25.0,Private Vehicle - Sunset Crater-Wupatki Entrance Fee,This fee covers the occupants of one private vehicle for seven days at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",28.0,Commercial Sedan - Sunset Crater-Wupatki Entrance Fee,This fee covers the occupants of one commercial sedan for one day at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",40.0,Commercial Van - Sunset Crater-Wupatki Entrance Fee,This fee covers the occupants of one commercial van for one day at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",100.0,Commercial Bus - Sunset Crater-Wupatki Entrance Fee,This fee covers the occupants of one commercial bus for one day at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",15.0,Bicyclist/Pedestrian - Sunset Crater-Wupatki Entrance Fee,This fee covers entry for one bicyclist or pedestrian for seven days at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",20.0,Motorcycle - Sunset Crater-Wupatki Entrance Fee,This fee covers the occupants of one motorcycle for seven days at both Sunset Crater Volcano and Wupatki National Monuments.
alca,CA,Alcatraz Island,,37.82676234,-122.4230206,"lat:37.82676234, long:-122.4230206",41.0,Adult Day Ticket (Ferry and Recorded Cellhouse Tour),"A daily scheduled ferry to Alcatraz has a round-trip fee. Reservations are strongly recommended as we often sell out. See www.alcatrazcitycruises.com for reservations, and ticket types and pricing."
alca,CA,Alcatraz Island,,37.82676234,-122.4230206,"lat:37.82676234, long:-122.4230206",48.4,Adult Night Ticket (Ferry and Recorded Cellhouse Tour),"A daily scheduled ferry to Alcatraz has a round-trip fee. Reservations are strongly recommended as we often sell out. See www.alcatrazcitycruises.com for reservations, and ticket types and pricing."
alca,CA,Alcatraz Island,,37.82676234,-122.4230206,"lat:37.82676234, long:-122.4230206",93.4,Adult Behind the Scenes Tour Ticket (Ferry and Recorded Cellhouse Tour),"A daily scheduled ferry to Alcatraz has a round-trip fee. Reservations are strongly recommended as we often sell out. See www.alcatrazcitycruises.com for reservations, and ticket types and pricing."
cabr,CA,Cabrillo National Monument,National Monument,32.6722503,-117.2415985,"lat:32.6722503, long:-117.2415985",20.0,Cabrillo Entrance Fee - Per non commercial vehicle,The pass is valid for seven full days.
