Park Code,State(s),Park Name,Designation,Latitude,Longitude,Coordinates,Fee (USD),Fee Type,Fee Description
lacl,AK,Lake Clark National Park & Preserve,National Park & Preserve,60.57405857,-153.55535,"lat:60.57405857, long:-153.55535",$0.00,No Fee,This location does not charge an entrance fee.
noat,AK,Noatak National Preserve,National Preserve,68.01027053,-159.831694,"lat:68.01027053, long:-159.831694",$0.00,No Fee,This location does not charge an entrance fee.
sitk,AK,Sitka National Historical Park,National Historical Park,57.04718173,-135.3156876,"lat:57.04718173, long:-135.3156876",$0.00,No Fee,This location does not charge an entrance fee.
wrst,AK,Wrangell - St Elias National Park & Preserve,National Park & Preserve,61.4182147,-142.6028439,"lat:61.4182147, long:-142.6028439",$0.00,No Fee,This location does not charge an entrance fee.
yuch,AK,Yukon - Charley Rivers National Preserve,National Preserve,65.0935608,-142.7960021,"lat:65.0935608, long:-142.7960021",$0.00,No Fee,This location does not charge an entrance fee.
bicr,AL,Birmingham Civil Rights National Monument,National Monument,33.5154266357,-86.814666748,"lat:33.5154266357, long:-86.814666748",$0.00,No Fee,This location does not charge an entrance fee.
frri,AL,Freedom Riders National Monument,National Monument,33.635269165,-85.9064331055,"lat:33.635269165, long:-85.9064331055",$0.00,No Fee,This location does not charge an entrance fee.
hobe,AL,Horseshoe Bend National Military Park,National Military Park,32.97668879,-85.73413589,"lat:32.97668879, long:-85.73413589",$0.00,No Fee,This location does not charge an entrance fee.
liri,AL,Little River Canyon National Preserve,National Preserve,34.41461863,-85.61734327,"lat:34.41461863, long:-85.61734327",$0.00,No Fee,This location does not charge an entrance fee.
natt,"AL,MS,TN",Natchez Trace National Scenic Trail,National Scenic Trail,34.330290333,-88.7100104094,"lat:34.330290333, long:-88.7100104094",$0.00,No Fee,This location does not charge an entrance fee.
natr,"AL,MS,TN",Natchez Trace Parkway,Parkway,33.78002293,-89.03092439,"lat:33.78002293, long:-89.03092439",$0.00,No Fee,This location does not charge an entrance fee.
ruca,AL,Russell Cave National Monument,National Monument,34.97402063,-85.81560314,"lat:34.97402063, long:-85.81560314",$0.00,No Fee,This location does not charge an entrance fee.
semo,AL,Selma To Montgomery National Historic Trail,National Historic Trail,32.27082092,-86.72823702,"lat:32.27082092, long:-86.72823702",$0.00,No Fee,This location does not charge an entrance fee.
trte,"AL,AR,GA,IL,KY,MO,NC,OK,TN",Trail Of Tears National Historic Trail,National Historic Trail,36.0530021046,-89.6761041963,"lat:36.0530021046, long:-89.6761041963",$0.00,No Fee,This location does not charge an entrance fee.
tuai,AL,Tuskegee Airmen National Historic Site,National Historic Site,32.45538671,-85.67983321,"lat:32.45538671, long:-85.67983321",$0.00,No Fee,This location does not charge an entrance fee.
tuin,AL,Tuskegee Institute National Historic Site,National Historic Site,32.42962115,-85.70488498,"lat:32.42962115, long:-85.70488498",$0.00,No Fee,This location does not charge an entrance fee.
arpo,AR,Arkansas Post National Memorial,National Memorial,34.00389998,-91.30837178,"lat:34.00389998, long:-91.30837178",$0.00,No Fee,This location does not charge an entrance fee.
buff,AR,Buffalo National River,National River,36.04116481,-92.90761584,"lat:36.04116481, long:-92.90761584",$0.00,No Fee,This location does not charge an entrance fee.
buov,"MO,AR,OK,TX,NM,AZ,CA",Butterfield Overland National Historic Trail,National Historic Trail,32.2768237589,-106.796583304,"lat:32.2768237589, long:-106.796583304",$0.00,No Fee,This location does not charge an entrance fee.
fosm,"AR,OK",Fort Smith National Historic Site,National Historic Site,35.38834746,-94.43129079,"lat:35.38834746, long:-94.43129079",$0.00,No Fee,This location does not charge an entrance fee.
hosp,AR,Hot Springs National Park,National Park,34.52414366,-93.06332936,"lat:34.52414366, long:-93.06332936",$0.00,No Fee,This location does not charge an entrance fee.
chsc,AR,Little Rock Central High School National Historic Site,National Historic Site,34.7369465,-92.29987899,"lat:34.7369465, long:-92.29987899",$0.00,No Fee,This location does not charge an entrance fee.
peri,AR,Pea Ridge National Military Park,National Military Park,36.45438033,-94.03468357,"lat:36.45438033, long:-94.03468357",$0.00,No Fee,This location does not charge an entrance fee.
wicl,AR,President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site,33.66758356,-93.59641868,"lat:33.66758356, long:-93.59641868",$0.00,No Fee,This location does not charge an entrance fee.
cach,AZ,Canyon de Chelly National Monument,National Monument,36.14319567,-109.3388303,"lat:36.14319567, long:-109.3388303",$0.00,No Fee,This location does not charge an entrance fee.
cagr,AZ,Casa Grande Ruins National Monument,National Monument,32.99702582,-111.5325383,"lat:32.99702582, long:-111.5325383",$0.00,No Fee,This location does not charge an entrance fee.
chir,AZ,Chiricahua National Monument,National Monument,32.01214618,-109.341607,"lat:32.01214618, long:-109.341607",$0.00,No Fee,This location does not charge an entrance fee.
coro,AZ,Coronado National Memorial,National Memorial,31.34900397,-110.2561574,"lat:31.34900397, long:-110.2561574",$0.00,No Fee,This location does not charge an entrance fee.
fobo,AZ,Fort Bowie National Historic Site,National Historic Site,32.14925942,-109.451132,"lat:32.14925942, long:-109.451132",$0.00,No Fee,This location does not charge an entrance fee.
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",$30.00,Entrance - Private Vehicle,"Admits one single, private, non-commercial vehicle and all its passengers."
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",$25.00,Entrance - Motorcycle,"Admits one single, private, non-commercial motorcycle and its riders."
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",$15.00,Entrance - Per Person,Admits one individual when entering on foot or bicycle. Individuals 15 years of age and younger are admitted free.
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",$40.00,Commercial Entrance - Van,Fees are assessed based on the passenger capacity of the vehicle.
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",$40.00,Commercial Entrance - Mini-bus,Fees are assessed based on the passenger capacity of the vehicle.
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",$100.00,Commercial Entrance - Motor Coach,Fees are assessed based on the passenger capacity of the vehicle.
glca,"AZ,UT",Glen Canyon National Recreation Area,National Recreation Area,36.9357464677,-111.485594268,"lat:36.9357464677, long:-111.485594268",$0.00,Entrance - Education/Academic Groups,Academic fee waivers must be submitted and returned before you visit Glen Canyon National Recreation Area.
grca,AZ,Grand Canyon National Park,National Park,36.0001165336,-112.121516363,"lat:36.0001165336, long:-112.121516363",$35.00,Entrance - Private Vehicle,"Admits one single, private, non-commercial vehicle and all its passengers, up to a 15 person passenger van. Organized non-commercial groups over 16 passengers require different charges. Commercial groups are not eligible for the vehicle permit."
grca,AZ,Grand Canyon National Park,National Park,36.0001165336,-112.121516363,"lat:36.0001165336, long:-112.121516363",$30.00,Entrance - Motorcycle,"Admits one single, private, non-commercial motorcycle and its passenger(s)."
grca,AZ,Grand Canyon National Park,National Park,36.0001165336,-112.121516363,"lat:36.0001165336, long:-112.121516363",$20.00,Entrance - Per Person,"Individual ($20 valid for 7 days): for bicyclists, hikers, and pedestrians."
para,AZ,Grand Canyon-Parashant National Monument,National Monument,36.41535465,-113.6682797,"lat:36.41535465, long:-113.6682797",$0.00,No Fee,This location does not charge an entrance fee.
hutr,AZ,Hubbell Trading Post National Historic Site,National Historic Site,35.70727324,-109.5599515,"lat:35.70727324, long:-109.5599515",$0.00,No Fee,This location does not charge an entrance fee.
juba,"AZ,CA",Juan Bautista de Anza National Historic Trail,National Historic Trail,33.8743390994,-117.224179857,"lat:33.8743390994, long:-117.224179857",$0.00,No Fee,This location does not charge an entrance fee.
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",$25.00,Entrance - Private Vehicle,Admits a private non-commercial vehicle for 1-7 days.
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",$20.00,Entrance - Motorcycle,Admits a motorcycle for 1-7 days.
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",$15.00,Entrance - Per Person,Admits a single individual walking/bicycling for 1-7 days.
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",$15.00,Entrance - Non-commercial Groups,"Admits vehicles at the per person rate for groups using vehicles for 12 or more people. The $15 cost is per person ages 16+, not to exceed the flat rate paid commercial tours for same type of vehicle."
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",$0.00,Entrance - Education/Academic Groups,Admits education/academic groups as long as a fee waiver form is filled out and approved.
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",$25.00,Commercial Entrance - Sedan,Admits a sedan of 1-6 people.
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",$50.00,Commercial Entrance - Van,Admits a van of 7-16 persons.
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",$60.00,Commercial Entrance - Mini-bus,Admits a mini-bus of 16-25 persons.
lake,"AZ,NV",Lake Mead National Recreation Area,National Recreation Area,35.96622528,-114.3469067,"lat:35.96622528, long:-114.3469067",$150.00,Commercial Entrance - Motor Coach,Admits a motor coach of 26+ persons.
moca,AZ,Montezuma Castle National Monument,National Monument,34.62237771,-111.8147857,"lat:34.62237771, long:-111.8147857",$10.00,Entrance - Per Person,"This entrance fee covers one adult, aged 16 and over, for entrance to Montezuma Castle and Tuzigoot National Monuments for 7 days."
nava,AZ,Navajo National Monument,National Monument,36.71755643,-110.5504015,"lat:36.71755643, long:-110.5504015",$0.00,No Fee,This location does not charge an entrance fee.
olsp,"AZ,CA,CO,NV,NM,UT",Old Spanish National Historic Trail,National Historic Trail,37.0791782514,-112.114693431,"lat:37.0791782514, long:-112.114693431",$0.00,No Fee,This location does not charge an entrance fee.
orpi,AZ,Organ Pipe Cactus National Monument,National Monument,32.03585543,-112.8573314,"lat:32.03585543, long:-112.8573314",$25.00,Entrance - Private Vehicle,This fee includes all occupants of a non-commercial vehicle.
orpi,AZ,Organ Pipe Cactus National Monument,National Monument,32.03585543,-112.8573314,"lat:32.03585543, long:-112.8573314",$20.00,Entrance - Motorcycle,"Motorcycle: $20 
Admits one single, private, non-commercial motorcycle and its passenger(s)."
orpi,AZ,Organ Pipe Cactus National Monument,National Monument,32.03585543,-112.8573314,"lat:32.03585543, long:-112.8573314",$15.00,Entrance - Per Person,"Individuals: $15
This fee applies to bicycles and walk-ins (per person)"
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",$25.00,Entrance - Private Vehicle,"Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Valid for 7 days."
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",$15.00,Entrance - Per Person,"Admits one individual with no motor vehicle (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Valid for 7 days."
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",$20.00,Entrance - Motorcycle,"Admits one or two passengers on a single private, non-commercial motorcycle. Valid for 7 days."
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",$25.00,Commercial Entrance - Sedan,"$25 flat fee + $10 per person (Sedans, SUVs, Minivans)

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days."
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",$10.00,Commercial Entrance - Per Person,"$25 flat fee + $10 per person (Sedans, SUVs, Minivans)

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days."
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",$50.00,Commercial Entrance - Van,"Capacity of 7 to 15 passengers - $50 (Vans).

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days."
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",$60.00,Commercial Entrance - Mini-bus,"Capacity of 16-25 passengers - $60

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days."
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",$150.00,Commercial Entrance - Motor Coach,"Capacity of 26+ passengers - $150 (Large tour buses, motorcoaches).

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days."
pefo,AZ,Petrified Forest National Park,National Park,34.98387664,-109.7877678,"lat:34.98387664, long:-109.7877678",$15.00,Entrance - Non-commercial Groups,"Capacity of 16 or more $15/person.  Anyone that is 15 or younger is exempt from paying an entrance fee, in addition to anyone with a valid pass. A pass may cover immediate family members or up to 4 people traveling with the group.

A non-commercial organized group is a group traveling together, such as scouts, a club, a church, or other group that has organized its own itinerary. Fees are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days."
pisp,AZ,Pipe Spring National Monument,National Monument,36.86282666,-112.7398567,"lat:36.86282666, long:-112.7398567",$10.00,Entrance - Per Person,There is a $10 fee per person 16 years of age and older.  Children under 15 enter for free.  This fee includes a $3/person Tribal use fee to the Kaibab Band of Paiute Indians.  All Interagency Passes are accepted.
sagu,AZ,Saguaro National Park,National Park,32.20909636,-110.7574974,"lat:32.20909636, long:-110.7574974",$25.00,Entrance - Private Vehicle,"The vehicle entrance pass is sold in the form of a dated register receipt and admits one privately owned, non-commercial vehicle into Saguaro National Park. This includes passenger cars, trucks, vans, recreational vehicles, campers, or converted buses used for private, recreational purposes."
sagu,AZ,Saguaro National Park,National Park,32.20909636,-110.7574974,"lat:32.20909636, long:-110.7574974",$15.00,Entrance - Per Person,"Individuals entering the park by means other than a motor vehicle may purchase individual entrance passes. This includes hikers, horseback riders and bicyclists. The individual entrance fee is charged to anyone 16 years of age or older."
sagu,AZ,Saguaro National Park,National Park,32.20909636,-110.7574974,"lat:32.20909636, long:-110.7574974",$20.00,Entrance - Motorcycle,"This fee is charged per-vehicle upon entrance, regardless of the number of riders. An Annual Pass will cover two motorcycles traveling together if the two people who signed that pass are on different motorcycles. A Lifetime Pass (such as the Access or Senior Pass) with one signature line will only cover one motorcycle."
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",$25.00,Entrance - Private Vehicle,"This pass covers the pass holder and up to 15 passengers of a single, private (non-commercial) vehicle at both Sunset Crater Volcano and Wupatki National Monuments for 1-7 days."
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",$20.00,Entrance - Motorcycle,Admits the passholder and passenger of one motorcycle to both Sunset Crater and Wupatki National Monument for 1-7 days.
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",$15.00,Entrance - Per Person,"Admits one individual bicyclist, hiker, or pedestrian visiting the facility without a private vehicle. Good for both Sunset Crater and Wupatki National Monuments for 1-7 days. A pass is not required for individuals 15 or younger."
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",$15.00,Entrance - Non-commercial Groups,The per person fee is charged for non-commercial groups up to the point that it exceeds the cost of the commercial rate for the same size vehicle.
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",$0.00,Entrance - Education/Academic Groups,Bona fide educational institutions visiting for non-recreational purposes whose visit pertains directly to established curriculum are exempt from paying entry fees. Apply for an educational fee waiver at least 4 weeks in advance by submitting an educational fee waiver. Please see the below link to access the waiver.
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",$28.00,Commercial Entrance - Sedan,"Covers occupants of a vehicle with an occupancy of 1-6 individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of providing commercial tour services within the unit. A commercial group consists of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure/recreational purpose by an organization that realizes financial gain through the provision of the service."
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",$40.00,Commercial Entrance - Van,"Covers occupants of a vehicle with an occupancy of 7-15 individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of providing commercial tour services within the unit. A commercial group consists of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure/recreational purpose by an organization that realizes financial gain through the provision of the service."
sucr,AZ,Sunset Crater Volcano National Monument,National Monument,35.37114323,-111.510376,"lat:35.37114323, long:-111.510376",$100.00,Commercial Entrance - Motor Coach,"Covers occupants of a vehicle with an occupancy of 16+ individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of providing commercial tour services within the unit. A commercial group consists of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure/recreational purpose by an organization that realizes financial gain through the provision of the service."
tont,AZ,Tonto National Monument,National Monument,33.64842945,-111.1135627,"lat:33.64842945, long:-111.1135627",$10.00,Entrance - Per Person,Tonto National Monument charges a fee to all visitors hiking to the Lower or Upper Cliff Dwelling. Tour reservations are required to visit the Upper Cliff Dwelling. The Lower Cliff Dwelling is open September through May 8:00 am to 4:00 pm and June through August 8:00 am to noon. Credit and Debit only
tont,AZ,Tonto National Monument,National Monument,33.64842945,-111.1135627,"lat:33.64842945, long:-111.1135627",$0.00,Entrance - Education/Academic Groups,Education groups may be granted an educational fee waiver. All requests and documentation must be submitted at least 2 weeks in advance of the school's planned visit.
tuma,AZ,Tumacácori National Historical Park,National Historical Park,31.567824,-111.051223,"lat:31.567824, long:-111.051223",$10.00,Entrance - Per Person,The park entrance fee is $10.00 per adult (age 16 or older) and is good for 7 days. The entrance pass is valid for seven days.
tuma,AZ,Tumacácori National Historical Park,National Historical Park,31.567824,-111.051223,"lat:31.567824, long:-111.051223",$0.00,Entrance - Education/Academic Groups,Accredited school groups coming for educational purposes are exempt from the normal entrance fees.
tuzi,AZ,Tuzigoot National Monument,National Monument,34.77296377,-112.0279069,"lat:34.77296377, long:-112.0279069",$10.00,Entrance - Per Person,"Tuzigoot Entrance Fee - Per Adult - $10.00

This entrance fee covers one adult, aged 16 and over, for entrance to Montezuma Castle and Tuzigoot National Monuments for 7 days."
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",$25.00,Entrance - Private Vehicle,"This pass covers the pass holder and up to 15 passengers of a single, private (non-commercial) vehicle at Walnut Canyon National Monuments for 1-7 days."
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",$20.00,Entrance - Motorcycle,Admits the passholder and passenger of one motorcycle to Walnut Canyon National Monument for 1-7 days.
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",$15.00,Entrance - Per Person,"Admits one individual bicyclist, hiker, or pedestrian visiting the facility without a private vehicle. Good for Walnut Canyon National Monument for 1-7 days. A pass is not required for individuals 15 or younger."
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",$15.00,Entrance - Non-commercial Groups,Non-commercial groups pay the per person fee up until the cost exceeds that of the commercial rate for the same size vehicle.
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",$0.00,Entrance - Education/Academic Groups,Bona fide educational institutions visiting for non-recreational purposes whose visit pertains directly to established curriculum are exempt from paying entry fees. Apply for an educational fee waiver at least 4 weeks in advance by submitting an educational fee waiver. Please see the below link to access the waiver.
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",$28.00,Commercial Entrance - Sedan,"Covers occupants of a vehicle with an occupancy of 1-6 individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of providing commercial tour services within the unit. A commercial group consists of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure/recreational purpose by an organization that realizes financial gain through the provision of the service."
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",$40.00,Commercial Entrance - Van,"Covers occupants of a vehicle with an occupancy of 7-15 individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of providing commercial tour services within the unit. A commercial group consists of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure/recreational purpose by an organization that realizes financial gain through the provision of the service."
waca,AZ,Walnut Canyon National Monument,National Monument,35.16822994,-111.5024239,"lat:35.16822994, long:-111.5024239",$100.00,Commercial Entrance - Motor Coach,"Covers occupants of a vehicle with an occupancy of 16+ individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of providing commercial tour services within the unit. A commercial group consists of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure/recreational purpose by an organization that realizes financial gain through the provision of the service."
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",$25.00,Entrance - Private Vehicle,This fee covers the occupants of one private vehicle for seven days at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",$20.00,Entrance - Motorcycle,This fee covers the occupants of one motorcycle for seven days at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",$15.00,Entrance - Per Person,This fee covers entry for one bicyclist or pedestrian for seven days at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",$15.00,Entrance - Non-commercial Groups,"Non-commercial groups are charged the per-person entrance fee of $15 for all persons 16yrs and over, not to exceed the commercial rate for the size of vehicle entering the monument."
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",$0.00,Entrance - Education/Academic Groups,"Educational groups visiting the monument for a curriculum related visit should apply for an Academic Fee Waiver. If no fee waiver is obtained, educational groups will be charged as non-commercial groups."
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",$28.00,Commercial Entrance - Sedan,This fee covers the occupants of one commercial sedan for one day at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",$40.00,Commercial Entrance - Van,This fee covers the occupants of one commercial van for one day at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",$100.00,Commercial Entrance - Motor Coach,This fee covers the occupants of one commercial bus for one day at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,AZ,Wupatki National Monument,National Monument,35.55741077,-111.3957216,"lat:35.55741077, long:-111.3957216",$100.00,Commercial Entrance - Mini-bus,https://www.nps.gov/wupa/planyourvisit/fees.htm
alca,CA,Alcatraz Island,,37.82676234,-122.4230206,"lat:37.82676234, long:-122.4230206",$0.00,No Fee,This location does not charge an entrance fee.
cabr,CA,Cabrillo National Monument,National Monument,32.6722503,-117.2415985,"lat:32.6722503, long:-117.2415985",$20.00,Entrance - Private Vehicle,"Admits one single, private, non-commercial vehicle and all its passengers."
cabr,CA,Cabrillo National Monument,National Monument,32.6722503,-117.2415985,"lat:32.6722503, long:-117.2415985",$15.00,Entrance - Motorcycle,"Admits one single, private, non-commercial motorcycle and its passenger(s)."
